Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Sales_Category,Profit_Estimate
1,1643690.9,0,42.31,2.572,211.0963582,8.106,High,246553.63499999998
1,1641957.44,1,38.51,2.548,211.2421698,8.106,High,246293.61599999998
1,1611968.17,0,39.93,2.514,211.2891429,8.106,High,241795.22549999997
1,1409727.59,0,46.63,2.561,211.3196429,8.106,High,211459.1385
1,1554806.68,0,46.5,2.625,211.3501429,8.106,High,233221.00199999998
1,1439541.59,0,57.79,2.667,211.3806429,8.106,High,215931.2385
1,1472515.79,0,54.58,2.72,211.215635,8.106,High,220877.3685
1,1404429.92,0,51.45,2.732,211.0180424,8.106,High,210664.48799999998
1,1594968.28,0,62.27,2.719,210.8204499,7.808,High,239245.242
1,1545418.53,0,65.86,2.77,210.6228574,7.808,High,231812.7795
1,1466058.28,0,66.32,2.808,210.4887,7.808,High,219908.742
1,1391256.12,0,64.84,2.795,210.4391228,7.808,High,208688.418
1,1425100.71,0,67.41,2.78,210.3895456,7.808,High,213765.1065
1,1603955.12,0,72.55,2.835,210.3399684,7.808,High,240593.268
1,1494251.5,0,74.78,2.854,210.3374261,7.808,High,224137.725
1,1399662.07,0,76.44,2.826,210.6170934,7.808,High,209949.3105
1,1432069.95,0,80.44,2.759,210.8967606,7.808,High,214810.4925
1,1615524.71,0,80.69,2.705,211.1764278,7.808,High,242328.70649999997
1,1542561.09,0,80.43,2.668,211.4560951,7.808,High,231384.1635
1,1503284.06,0,84.11,2.637,211.4537719,7.808,High,225492.609
1,1422711.6,0,84.34,2.653,211.3386526,7.808,High,213406.74000000002
1,1492418.14,0,80.91,2.669,211.2235333,7.787,High,223862.721
1,1546074.18,0,80.48,2.642,211.108414,7.787,High,231911.12699999998
1,1448938.92,0,83.15,2.623,211.1003854,7.787,High,217340.838
1,1385065.2,0,83.36,2.608,211.2351443,7.787,High,207759.78
1,1371986.6,0,81.84,2.64,211.3699032,7.787,High,205797.99000000002
1,1605491.78,0,87.16,2.627,211.5046621,7.787,High,240823.767
1,1508237.76,0,87.0,2.692,211.6394211,7.787,High,226235.664
1,1513080.49,0,86.65,2.664,211.6033633,7.787,High,226962.0735
1,1449142.92,0,85.22,2.619,211.5673056,7.787,High,217371.438
1,1540163.53,0,81.21,2.577,211.5312479,7.787,High,231024.5295
1,1507460.69,1,78.69,2.565,211.4951902,7.787,High,226119.1035
1,1430378.67,0,82.11,2.582,211.5224596,7.787,High,214556.80049999998
1,1351791.03,0,80.94,2.624,211.5972246,7.787,High,202768.6545
1,1453329.5,0,71.89,2.603,211.6719895,7.838,High,217999.425
1,1508239.93,0,63.93,2.633,211.7467544,7.838,High,226235.9895
1,1459409.1,0,67.18,2.72,211.8137436,7.838,High,218911.36500000002
1,1345454.0,0,69.86,2.725,211.8612937,7.838,High,201818.1
1,1384209.22,0,69.64,2.716,211.9088438,7.838,High,207631.383
1,1551659.28,0,58.74,2.689,211.9563939,7.838,High,232748.892
1,1494479.49,0,59.61,2.728,212.003944,7.838,High,224171.9235
1,1483784.18,0,51.41,2.771,211.8896737,7.838,High,222567.62699999998
1,1955624.11,1,64.52,2.735,211.7484333,7.838,High,293343.6165
1,1548033.78,0,49.27,2.708,211.607193,7.838,High,232205.067
1,1682614.26,0,46.33,2.843,211.4659526,7.838,High,252392.139
1,1891034.93,0,49.84,2.869,211.4053124,7.838,High,283655.23949999997
1,2387950.2,0,52.33,2.886,211.4051222,7.838,High,358192.53
1,1367320.01,1,48.43,2.943,211.4049321,7.838,High,205098.00149999998
1,1444732.28,0,48.27,2.976,211.4047419,7.742,High,216709.842
1,1391013.96,0,35.4,2.983,211.4574109,7.742,High,208652.09399999998
1,1327405.42,0,44.04,3.016,211.8272343,7.742,High,199110.813
1,1316899.31,0,43.83,3.01,212.1970577,7.742,High,197534.8965
1,1606629.58,0,42.27,2.989,212.5668812,7.742,High,240994.437
1,1649614.93,1,36.39,3.022,212.9367046,7.742,High,247442.23949999997
1,1686842.78,0,57.36,3.045,213.2478853,7.742,High,253026.417
